Stock_Price,Numerical_Solution,Analytical_Solution,Absolute_Error
0,114.147530940086,NaN,NaN
13.3333333333333,100.814197487848,100.814197606752,1.18904054602353e-07
26.6666666666667,87.4808641545156,87.4808642734195,1.18903969337225e-07
40,74.1475310271265,74.1475313077253,2.80598811741584e-07
53.3333333333333,60.8144617390182,60.8146989200764,0.000237181058139413
66.6666666666667,47.500037540235,47.5175655260989,0.0175279858639215
80,34.4353060538219,34.6954944329685,0.260188379146591
93.3333333333333,22.5075524758202,24.0034433814362,1.49589090561597
106.666666666667,13.0334674633964,17.8085892789796,4.77512181558317
120,6.68774223164294,17.1486696936566,10.4609274620137
